Happy Valentine's day!,Feliz Dia dos namorados!
yeah sure!,sim claro!
What's up bro?Is something wrong?,"E aí, mano?"
"Well, I can't hide it! Mona's just dumped me.","Bem, eu não posso esconder!"
Are you serious? She broke up with you on a Valentine's day? That's messed up!,Você está falando sério?
Well! We've had our issues. Especially since... I was dating Rachel. That's a lot for her I guess.,Bem!
"Oh Ross, I'm sorry bro!","Oh Ross, me desculpe, mano!"
I don't judge her for breaking up.,Eu não a julgo por terminando.
So! You doing anything tomorrow? I mean... we can hang out and talk!,Então!
Yeah! I could use somebody to talk to.,Sim!
What's up bro? Is something wrong?,"E aí, mano?"
What's up bro? Is something wrong?,"E aí, mano?"
What's up bro? Is something wrong?,"E aí, mano?"
Are you serious? She broke up with you on a Valentine's day? That's messed up!,Você está falando sério? Ela terminou com você no dia dos namorados? Isso está bagunçado!
